episode_id,player_0_original_score,player_0_excluded_score,player_0_wall_count,player_1_original_score,player_1_excluded_score,player_1_wall_count,player_2_original_score,player_2_excluded_score,player_2_wall_count,player_3_original_score,player_3_excluded_score,player_3_wall_count,total_original_score,total_excluded_score,total_wall_count
13,46.26,46.26,9.2,31.48999999999999,31.48999999999999,8.8,47.029999999999994,47.029999999999994,17.6,96.43999999999998,96.43999999999998,12.6,221.21999999999997,221.21999999999997,48.2
14,57.8,57.8,22.2,50.839999999999996,50.839999999999996,18.0,27.140000000000004,27.140000000000004,13.6,56.69999999999999,56.69999999999999,36.0,192.48,192.48,89.80000000000001
15,49.989999999999995,49.989999999999995,9.4,47.67999999999999,47.67999999999999,14.2,46.11,46.11,9.4,52.02,52.02,7.4,195.79999999999998,195.79999999999998,40.4
16,74.25999999999999,74.25999999999999,16.6,47.63000000000001,47.63000000000001,10.2,35.47,35.47,24.6,39.1,39.1,43.0,196.46,196.46,94.4
17,66.15,66.15,31.2,58.69000000000001,58.69000000000001,14.0,25.829999999999995,25.829999999999995,12.0,81.67999999999999,81.67999999999999,35.8,232.35000000000002,232.35000000000002,93.0
18,76.05,76.05,23.4,39.0,39.0,25.4,25.229999999999997,25.229999999999997,9.4,28.119999999999997,28.119999999999997,21.4,168.4,168.4,79.6
19,59.40999999999999,59.40999999999999,19.0,37.42999999999999,37.42999999999999,28.6,32.07,32.07,23.6,38.440000000000005,38.440000000000005,34.8,167.34999999999997,167.34999999999997,106.0
20,78.3,78.3,11.0,63.580000000000005,63.580000000000005,12.6,12.23,12.23,23.2,50.86,50.86,26.0,204.96999999999997,204.96999999999997,72.8
21,44.61,44.61,20.4,76.27000000000001,76.27000000000001,30.8,60.629999999999995,60.629999999999995,18.2,69.69,69.69,24.2,251.2,251.2,93.60000000000001
22,34.32999999999999,34.32999999999999,13.0,55.779999999999994,55.779999999999994,9.8,40.66,40.66,12.0,91.12,91.12,19.2,221.89,221.89,54.0
23,54.30999999999999,54.30999999999999,15.0,41.73,41.73,4.2,48.779999999999994,48.779999999999994,6.0,61.42,61.42,18.8,206.24,206.24,44.0
24,54.58,54.58,22.4,34.620000000000005,34.620000000000005,10.4,36.83,36.83,25.8,69.15,69.15,7.4,195.18,195.18,66.0
25,34.68,34.68,30.0,45.06,45.06,25.6,30.79,30.79,30.0,36.09,36.09,31.4,146.62,146.62,117.0
26,64.45000000000002,64.45000000000002,12.8,65.94,65.94,5.8,32.04,32.04,13.6,53.94,53.94,15.8,216.37,216.37,48.0
27,56.82000000000001,56.82000000000001,22.2,61.09000000000001,61.09000000000001,9.6,27.54,27.54,16.6,75.37,75.37,15.0,220.82000000000002,220.82000000000002,63.4
28,58.93000000000001,58.93000000000001,31.8,54.61,54.61,14.4,50.19,50.19,9.4,33.959999999999994,33.959999999999994,97.6,197.69,197.69,153.2
29,42.6,42.6,8.6,69.5,69.5,4.6,81.63000000000001,81.63000000000001,14.4,56.14999999999999,56.14999999999999,19.2,249.88,249.88,46.8
30,50.89,50.89,14.0,41.040000000000006,41.040000000000006,11.8,51.68000000000001,51.68000000000001,16.4,77.95,77.95,21.6,221.56,221.56,63.800000000000004
31,39.470000000000006,39.470000000000006,16.8,69.51,69.51,12.8,69.35,69.35,11.0,22.309999999999995,22.309999999999995,61.0,200.64000000000001,200.64000000000001,101.6
32,41.9,41.9,12.0,80.35,80.35,13.2,52.49000000000001,52.49000000000001,20.8,5.9899999999999975,5.9899999999999975,79.8,180.73000000000002,180.73000000000002,125.8
33,80.78999999999999,80.78999999999999,8.2,73.73,73.73,12.2,47.08,47.08,15.6,60.07000000000001,60.07000000000001,17.6,261.66999999999996,261.66999999999996,53.6
34,58.44,58.44,3.0,47.57,47.57,28.4,52.870000000000005,52.870000000000005,32.0,20.82,20.82,24.2,179.7,179.7,87.6
35,49.45,49.45,8.8,48.449999999999996,48.449999999999996,8.8,44.75999999999999,44.75999999999999,6.2,38.4,38.4,27.0,181.06,181.06,50.8
36,54.720000000000006,54.720000000000006,4.4,50.28,50.28,3.4,20.09,20.09,17.6,80.35999999999999,80.35999999999999,21.0,205.45,205.45,46.400000000000006
37,56.67,56.67,16.4,75.95,75.95,15.8,62.6,62.6,4.6,31.580000000000002,31.580000000000002,34.8,226.8,226.8,71.6
