episode_id,player_0_ball_avg,player_1_ball_avg,player_2_ball_avg,player_3_ball_avg,total_ball_avg_reward
52,56.25,30.0,63.75,33.75,183.75
53,60.0,27.5,41.25,33.75,162.5
54,53.75,26.25,52.5,23.75,156.25
55,57.5,17.5,37.5,33.75,146.25
56,46.25,30.0,78.75,22.5,177.5
57,48.75,21.25,48.75,22.5,141.25
58,60.0,48.75,41.25,26.25,176.25
59,52.5,48.75,45.0,47.5,193.75
60,52.5,87.5,38.75,18.75,197.5
61,50.0,33.75,67.5,37.5,188.75
62,37.5,43.75,50.0,45.0,176.25
63,36.25,55.0,63.75,25.0,180.0
64,60.0,76.25,41.25,33.75,211.25
65,60.0,52.5,45.0,33.75,191.25
66,45.0,63.75,56.25,36.25,201.25
67,45.0,56.25,61.25,35.0,197.5
68,56.25,48.75,41.25,36.25,182.5
69,56.25,28.75,56.25,60.0,201.25
70,45.0,33.75,78.75,55.0,212.5
71,42.5,77.5,63.75,28.75,212.5
72,67.5,60.0,63.75,33.75,225.0
73,56.25,70.0,63.75,26.25,216.25
74,48.75,70.0,45.0,30.0,193.75
75,67.5,60.0,41.25,22.5,191.25
76,63.75,38.75,35.0,42.5,180.0
77,48.75,51.25,60.0,46.25,206.25
78,56.25,51.25,41.25,28.75,177.5
79,45.0,41.25,60.0,51.25,197.5
80,41.25,80.0,41.25,37.5,200.0
81,52.5,53.75,31.25,51.25,188.75
82,63.75,46.25,42.5,21.25,173.75
83,41.25,61.25,46.25,37.5,186.25
84,56.25,42.5,45.0,63.75,207.5
85,48.75,33.75,36.25,48.75,167.5
86,33.75,52.5,63.75,51.25,201.25
87,60.0,35.0,45.0,56.25,196.25
88,52.5,43.75,63.75,53.75,213.75
89,56.25,56.25,45.0,50.0,207.5
90,60.0,48.75,56.25,35.0,200.0
91,45.0,47.5,63.75,40.0,196.25
92,48.75,50.0,75.0,46.25,220.0
93,41.25,35.0,52.5,65.0,193.75
94,30.0,32.5,71.25,50.0,183.75
95,27.5,41.25,60.0,52.5,181.25
96,30.0,85.0,56.25,30.0,201.25
97,30.0,37.5,52.5,33.75,153.75
98,30.0,40.0,48.75,37.5,156.25
99,48.75,23.75,60.0,41.25,173.75
100,56.25,42.5,52.5,18.75,170.0
101,45.0,45.0,48.75,31.25,170.0
102,60.0,22.5,37.5,36.25,156.25
103,90.0,10.0,78.75,30.0,208.75
104,33.75,28.75,67.5,16.25,146.25
105,41.25,40.0,63.75,23.75,168.75
106,45.0,31.25,48.75,56.25,181.25
107,48.75,40.0,48.75,51.25,188.75
108,30.0,26.25,48.75,68.75,173.75
109,52.5,50.0,41.25,57.5,201.25
110,52.5,31.25,52.5,56.25,192.5
111,33.75,60.0,52.5,47.5,193.75
112,30.0,72.5,48.75,56.25,207.5
113,48.75,43.75,71.25,71.25,235.0
114,56.25,43.75,41.25,68.75,210.0
115,60.0,43.75,52.5,58.75,215.0
116,48.75,41.25,45.0,57.5,192.5
117,41.25,45.0,37.5,45.0,168.75
118,63.75,48.75,41.25,43.75,197.5
119,56.25,43.75,52.5,25.0,177.5
120,71.25,48.75,45.0,37.5,202.5
121,71.25,40.0,37.5,37.5,186.25
122,36.25,52.5,60.0,41.25,190.0
123,41.25,58.75,45.0,42.5,187.5
124,41.25,43.75,41.25,52.5,178.75
125,41.25,35.0,30.0,41.25,147.5
126,48.75,56.25,31.25,51.25,187.5
127,82.5,36.25,52.5,38.75,210.0
128,26.25,30.0,52.5,70.0,178.75
129,33.75,37.5,46.25,68.75,186.25
130,15.0,41.25,60.0,45.0,161.25
131,26.25,78.75,45.0,78.75,228.75
132,37.5,11.25,67.5,57.5,173.75
133,12.5,11.25,26.25,33.75,83.75
134,15.0,12.5,52.5,41.25,121.25
135,15.0,20.0,68.75,30.0,133.75
136,5.0,53.75,27.5,37.5,123.75
137,15.0,35.0,32.5,45.0,127.5
138,20.0,36.25,35.0,65.0,156.25
139,17.5,36.25,71.25,35.0,160.0
140,26.25,12.5,55.0,58.75,152.5
141,30.0,25.0,53.75,22.5,131.25
142,53.75,35.0,42.5,25.0,156.25
