episode_id,player_0_ball_reward,player_1_ball_reward,player_2_ball_reward,player_3_ball_reward,total_ball_reward
61,90.0,42.0,30.0,39.0,201.0
62,69.0,69.0,30.0,54.0,222.0
63,68.0,61.0,26.0,46.0,201.0
64,59.0,41.0,33.0,38.0,171.0
65,69.0,63.0,30.0,45.0,207.0
66,63.0,39.0,33.0,48.0,183.0
67,72.0,42.0,51.0,55.0,220.0
68,93.0,54.0,49.0,42.0,238.0
69,54.0,57.0,47.0,61.0,219.0
70,39.0,48.0,57.0,87.0,231.0
71,60.0,72.0,54.0,75.0,261.0
72,72.0,63.0,85.0,30.0,250.0
73,69.0,78.0,55.0,38.0,240.0
74,72.0,57.0,45.0,43.0,217.0
75,63.0,45.0,77.0,62.0,247.0
76,63.0,54.0,56.0,61.0,234.0
77,81.0,60.0,57.0,66.0,264.0
78,99.0,75.0,51.0,57.0,282.0
79,60.0,78.0,51.0,70.0,259.0
80,70.0,45.0,82.0,43.0,240.0
81,48.0,72.0,60.0,60.0,240.0
82,34.0,60.0,86.0,63.0,243.0
83,64.0,57.0,66.0,77.0,264.0
84,48.0,90.0,81.0,49.0,268.0
85,72.0,45.0,70.0,68.0,255.0
86,84.0,60.0,48.0,50.0,242.0
87,36.0,66.0,53.0,67.0,222.0
88,72.0,84.0,45.0,64.0,265.0
89,78.0,63.0,51.0,43.0,235.0
90,90.0,62.0,57.0,58.0,267.0
91,64.0,78.0,48.0,55.0,245.0
92,66.0,66.0,63.0,63.0,258.0
93,90.0,78.0,42.0,37.0,247.0
94,75.0,52.0,57.0,40.0,224.0
95,117.0,49.0,45.0,48.0,259.0
96,51.0,99.0,51.0,48.0,249.0
97,66.0,54.0,51.0,75.0,246.0
98,84.0,72.0,45.0,51.0,252.0
99,66.0,84.0,36.0,60.0,246.0
100,108.0,58.0,42.0,54.0,262.0
101,72.0,69.0,42.0,87.0,270.0
102,78.0,69.0,60.0,81.0,288.0
103,81.0,90.0,42.0,54.0,267.0
104,63.0,45.0,66.0,84.0,258.0
105,72.0,72.0,56.0,61.0,261.0
106,72.0,38.0,49.0,48.0,207.0
107,81.0,60.0,81.0,49.0,271.0
108,75.0,63.0,60.0,69.0,267.0
109,66.0,49.0,63.0,93.0,271.0
110,84.0,73.0,41.0,69.0,267.0
111,89.0,66.0,49.0,55.0,259.0
112,57.0,57.0,43.0,69.0,226.0
113,66.0,55.0,72.0,46.0,239.0
114,69.0,63.0,49.0,58.0,239.0
115,42.0,42.0,66.0,50.0,200.0
116,57.0,51.0,61.0,62.0,231.0
117,47.0,37.0,49.0,52.0,185.0
118,60.0,72.0,67.0,41.0,240.0
119,90.0,51.0,62.0,53.0,256.0
120,49.0,77.0,48.0,58.0,232.0
121,72.0,38.0,51.0,70.0,231.0
122,54.0,72.0,75.0,66.0,267.0
123,46.0,34.0,57.0,45.0,182.0
124,48.0,57.0,71.0,39.0,215.0
125,53.0,35.0,66.0,30.0,184.0
126,59.0,39.0,65.0,37.0,200.0
127,34.0,72.0,64.0,39.0,209.0
128,54.0,72.0,57.0,24.0,207.0
129,29.0,33.0,70.0,66.0,198.0
130,44.0,63.0,75.0,41.0,223.0
131,20.0,70.0,63.0,57.0,210.0
132,18.0,69.0,78.0,43.0,208.0
133,28.0,57.0,33.0,82.0,200.0
134,82.0,69.0,78.0,52.0,281.0
135,16.0,93.0,51.0,63.0,223.0
136,34.0,90.0,30.0,79.0,233.0
137,35.0,79.0,45.0,60.0,219.0
138,36.0,48.0,42.0,67.0,193.0
139,65.0,33.0,39.0,66.0,203.0
140,56.0,51.0,75.0,67.0,249.0
141,73.0,57.0,69.0,41.0,240.0
142,71.0,48.0,39.0,88.0,246.0
143,67.0,57.0,66.0,30.0,220.0
