episode_id,total_score,total_score_sem,attack,attack_sem,bear_damage,bear_damage_sem,cause_damage_to_enemy,cause_damage_to_enemy_sem,wall_collision,wall_collision_sem,kill_enemy,kill_enemy_sem,died,died_sem
23,573.9625,21.953496067445254,90.75,0.8539125638299665,27.0,3.1885210782848317,63.25,2.75,3.0,0.408248290463863,31.5,1.2583057392117916,2.25,0.25
24,637.9124999999999,25.111969050302157,81.75,1.0307764064044151,22.25,2.1360009363293826,64.5,2.533114025595111,3.5,1.2583057392117916,31.5,1.1902380714238083,1.75,0.25
25,670.425,57.36637553189731,84.0,2.041241452319315,27.75,2.8975564417856186,70.5,2.0615528128088303,2.25,1.1086778913041726,35.25,1.0307764064044151,2.25,0.25
26,634.8625,34.079345987220265,82.75,0.8539125638299665,33.25,2.5940637360455634,72.75,0.8539125638299665,1.0,0.408248290463863,36.0,0.408248290463863,2.75,0.25
27,657.875,39.91301740451772,77.5,3.095695936834452,27.75,0.6291528696058958,69.5,2.9011491975882016,0.5,0.28867513459481287,34.5,1.4433756729740645,2.0,0.0
28,719.1874999999999,19.854012766105186,86.25,1.0307764064044151,27.25,2.5617376914898995,74.25,1.6007810593582121,1.5,0.6454972243679028,36.75,0.75,2.5,0.28867513459481287
29,678.8875,54.76740733547644,82.25,0.9464847243000456,26.5,1.4433756729740645,70.25,2.780137886268713,0.0,0.0,35.0,1.2909944487358056,2.25,0.25
30,638.8000000000001,26.760348465593633,89.0,1.224744871391589,31.25,3.473110997362451,71.5,1.3228756555322954,1.0,1.0,35.5,0.6454972243679028,2.75,0.47871355387816905
31,735.6875,59.236026393713026,91.25,0.47871355387816905,31.25,2.5617376914898995,78.25,2.322893310794392,0.0,0.0,38.75,1.181453906563152,2.5,0.28867513459481287
32,787.825,24.4385837355605,88.5,2.101586702153082,34.75,1.8874586088176875,84.75,2.4958298553119898,0.0,0.0,42.25,1.3149778198382918,3.0,0.0
33,776.7,52.39563436012583,91.0,1.632993161855452,31.5,1.848422751068236,81.5,3.947573094109004,0.0,0.0,40.5,2.179449471770337,2.75,0.25
34,804.875,49.715023299468214,92.5,1.848422751068236,29.75,2.462214450449026,82.0,2.160246899469287,0.0,0.0,40.75,1.1086778913041726,2.5,0.28867513459481287
35,718.5500000000001,31.172704406259037,86.5,1.707825127659933,32.75,1.973786547054502,78.0,1.8257418583505538,0.75,0.25,39.0,0.9128709291752769,2.75,0.25
36,723.95,71.76235956265654,91.0,1.0801234497346435,33.75,2.4958298553119898,80.25,3.2242570203588508,0.0,0.0,39.5,1.5545631755148024,3.25,0.25
